geo_hash, rel_nfnv_prod_count,fnv_prod_count,prod_count,stores_count,sub_cat_count
tdr0vjr,317,166,2853,1,212
tdr0vjs,317,166,2853,1,212
tdr0vjt,317,166,2853,1,212
tdr0vju,317,166,2853,1,212
tdr0vjv,317,166,2853,1,212
tdr0vjw,317,166,2853,1,212
tdr0vjx,317,166,2853,1,212
tdr0vjy,317,166,2853,1,212
tdr0vjz,317,166,2853,1,212
tdr0vm0,317,166,2853,1,212
tdr0vm1,317,166,2853,1,212
tdr0vm2,317,166,2853,1,212
tdr0vm3,317,166,2853,1,212
tdr0vm4,317,166,2853,1,212
tdr0vm5,317,166,2853,1,212
tdr0vm6,317,166,2853,1,212
tdr0vm7,317,166,2853,1,212
tdr0vm8,317,166,2853,1,212
tdr0vm9,317,166,2853,1,212
tdr0vmb,317,166,2853,1,212
tdr0vmc,317,166,2853,1,212
tdr0vmd,317,166,2853,1,212
tdr0vme,317,166,2853,1,212
tdr0vmf,317,166,2853,1,212
tdr0vmg,317,166,2853,1,212
tdr0vmh,317,166,2853,1,212
tdr0vmj,317,166,2853,1,212
tdr0vmk,317,166,2853,1,212
tdr0vmm,317,166,2853,1,212
tdr0vmn,317,166,2853,1,212
tdr0vmp,317,166,2853,1,212
tdr0vmq,317,166,2853,1,212
tdr0vmr,317,166,2853,1,212
tdr0vms,317,166,2853,1,212
tdr0vmt,317,166,2853,1,212
tdr0vmu,317,166,2853,1,212
tdr0vmv,317,166,2853,1,212
tdr0vmw,317,166,2853,1,212
tdr0vmx,317,166,2853,1,212
tdr0vmy,317,166,2853,1,212
tdr0vmz,317,166,2853,1,212
tdr0vn0,317,166,2853,1,212
tdr0vn1,317,166,2853,1,212
tdr0vn2,317,166,2853,1,212
tdr0vn3,317,166,2853,1,212
tdr0vn4,317,166,2853,1,212
tdr0vn5,317,166,2853,1,212
tdr0vn6,317,166,2853,1,212
tdr0vn7,317,166,2853,1,212
tdr0vn8,317,166,2853,1,212
tdr0vn9,317,166,2853,1,212
tdr0vnb,317,166,2853,1,212
tdr0vnc,317,166,2853,1,212
tdr0vnd,317,166,2853,1,212
tdr0vne,317,166,2853,1,212
tdr0vnf,317,166,2853,1,212
tdr0vng,317,166,2853,1,212
tdr0vnh,317,166,2853,1,212
tdr0vnj,317,166,2853,1,212
tdr0vnk,317,166,2853,1,212
tdr0vnm,317,166,2853,1,212
tdr0vnn,317,166,2853,1,212
tdr0vnp,317,166,2853,1,212
tdr0vnq,317,166,2853,1,212
tdr0vnr,317,166,2853,1,212
tdr0vns,317,166,2853,1,212
tdr0vnt,317,166,2853,1,212
tdr0vnu,317,166,2853,1,212
tdr0vnv,317,166,2853,1,212
tdr0vnw,317,166,2853,1,212
tdr0vnx,317,166,2853,1,212
tdr0vny,317,166,2853,1,212
tdr0vnz,317,166,2853,1,212
tdr0vp0,317,166,2853,1,212
tdr0vp1,317,166,2853,1,212
tdr0vp2,317,166,2853,1,212
tdr0vp3,317,166,2853,1,212
tdr0vp4,317,166,2853,1,212
