sub_cat_count,product_count,stores,stores_count
151,6090,100029-100033-100099,3
154,6441,100029-100033-100099-100104,4
164,7025,100033-100055-100099-100104,4
155,4851,100055-100099-100104,3
139,3161,100029-100054,2
139,3381,100029-100054-100055,3
138,4965,100029-100107,2
162,7250,100033-100087-100099,3
82,1855,100050-100053,2
82,1875,100051-100053,2
140,2932,100028-100053,2
82,1973,100050-100051-100053,3
179,5872,100031-100053-100078,3
155,5535,100055-100107,2
157,5633,100033-100054,2
110,2655,100054-100104,2
150,4147,100054-100099,2
155,4821,100054-100099-100104,3
152,5111,100034-100050-100051,3
147,4464,100028-100034,2
161,6679,100033-100054-100099,3
164,7001,100033-100054-100099-100104,4
161,4135,100036-100043-100051,3
161,4124,100036-100043-100050,3
152,4870,100034-100050,2
152,4948,100034-100051,2
167,3970,100031-100050,2
153,4955,100034-100036,2
159,3943,100036-100043,2
152,3553,100028-100036,2
138,3803,100034,1
146,4728,100034-100094,2
145,3295,100046-100094,2
136,4285,100006-100094,2
137,3767,100012-100094,2
148,5222,100012-100038-100094,3
156,4720,100012-100046-100094,3
108,1734,100039,1
152,3598,100039-100094,2
154,5436,100006-100012-100046,3
149,3904,100036-100094,2
171,4149,100050-100078,2
171,4242,100051-100078,2
156,4580,100036-100038,2
167,4057,100031-100051,2
144,5218,100006-100034,2
153,4578,100006-100036,2
153,4492,100006-100039,2
138,4549,100006-100012,2
145,4230,100006-100046,2
148,4796,100034-100086,2
154,5284,100028-100034-100086,3
82,1980,100043-100050-100051,3
157,4579,100028-100036-100086,3
144,4373,100006-100050,2
144,4460,100006-100051,2
156,5945,100006-100034-100036,3
146,4192,100028-100053-100086,3
146,5695,100006-100012-100038,3
157,4973,100034-100039,2
155,3956,100036-100086,2
99,3189,100053-100086,2
158,4162,100036-100103,2
142,3559,100028-100103,2
144,3774,100086-100103,2
160,4693,100050-100086-100103,3
160,4777,100051-100086-100103,3
160,4961,100036-100086-100103,3
145,4426,100028-100086-100103,3
160,5298,100028-100050-100086-100103,4
160,5383,100028-100051-100086-100103,4
160,5396,100028-100036-100086-100103,4
144,4926,100012-100034,2
146,5952,100006-100012-100034,3
169,5593,100034-100078,2
139,3087,100029-100053,2
155,3705,100028-100031,2
169,4831,100028-100031-100053,3
166,4090,100028-100078,2
140,3998,100006-100028,2
167,5026,100029-100031-100054,3
168,4341,100078-100086,2
153,4753,100034-100046,2
156,4145,100031-100086,2
149,3813,100029-100031,2
111,1965,100039-100046,2
152,3924,100012-100039,2
135,4387,100006-100086,2
146,4962,100006-100028-100086,3
152,5217,100034-100038,2
170,5734,100027-100078,2
164,5043,100007-100038,2
