id,cluster_sub_cat_count,cluster_product_count,geo_product_count,geo_sub_cat_count,cluster_id,clusters_count
tdr1x97,146,4867,8502,173,100005-100038,21
tdr1x97,153,4658,8502,173,100005-100036,21
tdr1x94,146,4867,8502,173,100005-100038,21
tdr1x94,153,4658,8502,173,100005-100036,21
tdr1x96,146,4867,7956,170,100005-100038,18
tdr1x96,153,4658,7956,170,100005-100036,18
tdr1x91,146,4867,8398,170,100005-100038,18
tdr1x91,153,4658,8398,170,100005-100036,18
tdr1x93,146,4867,7956,170,100005-100038,20
tdr1x93,153,4658,7956,170,100005-100036,20
tdr1x92,146,4867,7956,170,100005-100038,20
tdr1x92,153,4658,7956,170,100005-100036,20
tdr1x9f,146,4867,7956,170,100005-100038,20
tdr1x9f,153,4658,7956,170,100005-100036,20
tdr1x9e,146,4867,7956,170,100005-100038,19
tdr1x9e,153,4658,7956,170,100005-100036,19
tdr1x9d,146,4867,7956,170,100005-100038,20
tdr1x9d,153,4658,7956,170,100005-100036,20
tdr1x9c,146,4867,7956,170,100005-100038,21
tdr1x9c,153,4658,7956,170,100005-100036,21
tdr1xs3,153,4955,7956,170,100034-100036,17
tdr1xs3,143,4397,7956,170,100005-100041,17
tdr1xs2,153,4955,7956,170,100034-100036,19
tdr1xs2,143,4397,7956,170,100005-100041,19
tdr1xs1,153,4955,7956,170,100034-100036,18
tdr1xs1,143,4397,7956,170,100005-100041,18
tdr1xs0,153,4955,7956,170,100034-100036,18
tdr1xs0,143,4397,7956,170,100005-100041,18
tdr1xrz,157,4973,7849,171,100034-100039,19
tdr1xrz,153,4955,7849,171,100034-100036,19
tdr1xsd,143,4397,7536,168,100005-100041,13
tdr1xsd,155,4096,7536,168,100038-100046,13
tdr1xsc,143,4397,7536,168,100005-100041,13
tdr1xsc,155,4096,7536,168,100038-100046,13
tdr1xsb,143,4397,7536,168,100005-100041,13
tdr1xsb,155,4096,7536,168,100038-100046,13
tdr1xs9,143,4397,7536,168,100005-100041,13
tdr1xs9,155,4096,7536,168,100038-100046,13
tdr1xs8,153,4955,7956,170,100034-100036,17
tdr1xs8,143,4397,7956,170,100005-100041,17
tdr1xs7,143,4397,7536,168,100005-100041,13
tdr1xs7,155,4096,7536,168,100038-100046,13
tdr1xs6,153,4955,7956,170,100034-100036,17
tdr1xs6,143,4397,7956,170,100005-100041,17
tdr1xsm,143,4397,7536,168,100005-100041,13
tdr1xsm,155,4096,7536,168,100038-100046,13
tdr1xsk,143,4397,7536,168,100005-100041,13
tdr1xsk,155,4096,7536,168,100038-100046,13
tdr1xsj,143,4397,7536,168,100005-100041,14
tdr1xsj,155,4096,7536,168,100038-100046,14
tdr1xsh,143,4397,7956,170,100005-100041,17
tdr1xsh,155,4096,7956,170,100038-100046,17
tdr1xsg,143,4397,7536,168,100005-100041,13
tdr1xsg,155,4096,7536,168,100038-100046,13
tdr1xsf,143,4397,7536,168,100005-100041,13
tdr1xsf,155,4096,7536,168,100038-100046,13
tdr1xse,143,4397,7536,168,100005-100041,13
tdr1xse,155,4096,7536,168,100038-100046,13
tdr1xsu,143,4397,7536,168,100005-100041,13
tdr1xsu,155,4096,7536,168,100038-100046,13
tdr1xst,143,4397,7536,168,100005-100041,13
tdr1xst,155,4096,7536,168,100038-100046,13
tdr1xss,143,4397,7536,168,100005-100041,13
tdr1xss,155,4096,7536,168,100038-100046,13
tdr1xsr,143,4397,8000,173,100005-100041,15
tdr1xsr,155,4096,8000,173,100038-100046,15
tdr1xsq,143,4397,8000,173,100005-100041,15
tdr1xsq,155,4096,8000,173,100038-100046,15
tdr1xsp,143,4397,8000,173,100005-100041,15
tdr1xsp,155,4096,8000,173,100038-100046,15
tdr1xsn,143,4397,8000,173,100005-100041,15
tdr1xsn,155,4096,8000,173,100038-100046,15
tdr1xt1,143,4397,7536,168,100005-100041,13
tdr1xt1,155,4096,7536,168,100038-100046,13
tdr1xt0,143,4397,7536,168,100005-100041,13
tdr1xt0,155,4096,7536,168,100038-100046,13
tdr1xsz,143,4397,8000,173,100005-100041,15
tdr1xsz,155,4096,8000,173,100038-100046,15
tdr1xsy,143,4397,8000,173,100005-100041,15
tdr1xsy,155,4096,8000,173,100038-100046,15
tdr1xsx,143,4397,8000,173,100005-100041,15
tdr1xsx,155,4096,8000,173,100038-100046,15
tdr1xsw,143,4397,8000,173,100005-100041,15
tdr1xsw,155,4096,8000,173,100038-100046,15
tdr1xsv,143,4397,7536,168,100005-100041,13
tdr1xsv,155,4096,7536,168,100038-100046,13
tdr1xt8,143,4397,7536,168,100005-100041,13
tdr1xt8,155,4096,7536,168,100038-100046,13
tdr1xt7,143,4397,7536,168,100005-100041,13
tdr1xt7,155,4096,7536,168,100038-100046,13
tdr1xt6,143,4397,7536,168,100005-100041,13
tdr1xt6,155,4096,7536,168,100038-100046,13
tdr1xt5,143,4397,7536,168,100005-100041,13
tdr1xt5,155,4096,7536,168,100038-100046,13
tdr1xt4,143,4397,7536,168,100005-100041,13
tdr1xt4,155,4096,7536,168,100038-100046,13
tdr1xr8,157,4973,7536,168,100034-100039,13
tdr1xr8,143,4397,7536,168,100005-100041,13
tdr1xr7,157,4973,7536,168,100034-100039,13
tdr1xr7,143,4397,7536,168,100005-100041,13
tdr1xr6,157,4973,7536,168,100034-100039,13
tdr1xr6,143,4397,7536,168,100005-100041,13
tdr1xr5,157,4973,7536,168,100034-100039,13
tdr1xr5,143,4397,7536,168,100005-100041,13
tdr1xr4,157,4973,7536,168,100034-100039,13
tdr1xr4,143,4397,7536,168,100005-100041,13
tdr1xr3,157,4973,7536,168,100034-100039,13
tdr1xr3,143,4397,7536,168,100005-100041,13
tdr1xrh,157,4973,7536,168,100034-100039,13
tdr1xrh,143,4397,7536,168,100005-100041,13
tdr1xrg,157,4973,7849,171,100034-100039,20
tdr1xrg,153,4955,7849,171,100034-100036,20
tdr1xrf,157,4973,7849,171,100034-100039,19
tdr1xrf,153,4955,7849,171,100034-100036,19
tdr1xre,157,4973,7849,171,100034-100039,19
tdr1xre,153,4955,7849,171,100034-100036,19
tdr1xrd,157,4973,7849,171,100034-100039,19
tdr1xrd,153,4955,7849,171,100034-100036,19
tdr1xrc,157,4973,7849,171,100034-100039,19
tdr1xrc,153,4955,7849,171,100034-100036,19
tdr1xrb,157,4973,7849,171,100034-100039,19
tdr1xrb,153,4955,7849,171,100034-100036,19
tdr1xrr,157,4973,7849,171,100034-100039,17
tdr1xrr,153,4955,7849,171,100034-100036,17
tdr1xrq,157,4973,7849,171,100034-100039,17
tdr1xrq,153,4955,7849,171,100034-100036,17
tdr1xrp,157,4973,7849,171,100034-100039,17
tdr1xrp,153,4955,7849,171,100034-100036,17
tdr1xrn,157,4973,7849,171,100034-100039,17
tdr1xrn,153,4955,7849,171,100034-100036,17
tdr1xrm,157,4973,7849,171,100034-100039,18
tdr1xrm,153,4955,7849,171,100034-100036,18
tdr1xrk,157,4973,7849,171,100034-100039,19
tdr1xrk,153,4955,7849,171,100034-100036,19
tdr1xrj,157,4973,7536,168,100034-100039,13
tdr1xrj,143,4397,7536,168,100005-100041,13
tdr1xry,157,4973,7849,171,100034-100039,18
tdr1xry,153,4955,7849,171,100034-100036,18
tdr1xrx,157,4973,7849,171,100034-100039,18
tdr1xrx,153,4955,7849,171,100034-100036,18
tdr1xrw,157,4973,7849,171,100034-100039,18
tdr1xrw,153,4955,7849,171,100034-100036,18
tdr1xrv,157,4973,7849,171,100034-100039,18
tdr1xrv,153,4955,7849,171,100034-100036,18
tdr1xru,157,4973,7849,171,100034-100039,19
tdr1xru,153,4955,7849,171,100034-100036,19
tdr1xrt,157,4973,7849,171,100034-100039,18
tdr1xrt,153,4955,7849,171,100034-100036,18
tdr1xrs,157,4973,7849,171,100034-100039,19
tdr1xrs,153,4955,7849,171,100034-100036,19
tdr1xs5,143,4397,7956,170,100005-100041,17
tdr1xs5,155,4096,7956,170,100038-100046,17
tdr1xs4,143,4397,7956,170,100005-100041,17
tdr1xs4,155,4096,7956,170,100038-100046,17
tdr1xn0,153,4955,7944,169,100034-100036,23
tdr1xn0,152,4870,7944,169,100034-100050,23
tdr1xmp,143,4397,7536,168,100005-100041,13
tdr1xmp,155,4096,7536,168,100038-100046,13
tdr1xmz,143,4397,7536,168,100005-100041,12
tdr1xmz,138,3803,7536,168,100034,12
tdr1xmn,143,4397,7536,168,100005-100041,12
tdr1xmn,138,3803,7536,168,100034,12
tdr1xmy,143,4397,7536,168,100005-100041,12
tdr1xmy,138,3803,7536,168,100034,12
tdr1xn5,156,5945,8387,169,100006-100034-100036,25
tdr1xn5,144,5218,8387,169,100006-100034,25
tdr1xn4,153,4955,7944,169,100034-100036,23
